国家/地区,点击次数,展示,点击率,排名
加拿大,2,116,1.72%,8.78
美国,1,1859,0.05%,6.6
中国,1,393,0.25%,6.02
印度尼西亚,1,91,1.1%,5.73
土耳其,1,22,4.55%,5.18
爱尔兰,1,6,16.67%,4.33
新加坡,0,3028,0%,5.68
英国,0,144,0%,14.77
巴西,0,127,0%,5.16
越南,0,98,0%,6.12
马来西亚,0,90,0%,5.76
印度,0,83,0%,21.43
澳大利亚,0,76,0%,6.46
菲律宾,0,68,0%,5.72
日本,0,62,0%,15.34
德国,0,53,0%,6.25
墨西哥,0,41,0%,5.44
西班牙,0,41,0%,5.98
中国香港,0,41,0%,7.34
阿根廷,0,37,0%,4.27
法国,0,37,0%,6
伊拉克,0,34,0%,7.35
韩国,0,30,0%,5.53
巴基斯坦,0,30,0%,5.53
泰国,0,30,0%,7.8
意大利,0,29,0%,5.38
荷兰,0,29,0%,12.97
台湾,0,25,0%,6.36
孟加拉,0,24,0%,6.83
阿拉伯联合酋长国,0,21,0%,7.1
哥伦比亚,0,19,0%,6.79
新西兰,0,18,0%,6.56
俄罗斯,0,18,0%,6.61
波兰,0,15,0%,5.8
智利,0,14,0%,6.93
沙特阿拉伯,0,14,0%,7.64
乌克兰,0,13,0%,6.08
比利时,0,12,0%,4.92
埃塞俄比亚,0,11,0%,6.82
厄瓜多尔,0,11,0%,7
委内瑞拉,0,11,0%,8.82
以色列,0,10,0%,5.4
摩洛哥,0,10,0%,5.9
尼日利亚,0,10,0%,7.1
哈萨克斯坦,0,9,0%,5.44
葡萄牙,0,9,0%,5.89
伊朗,0,9,0%,7.89
挪威,0,9,0%,8.22
乌拉圭,0,9,0%,13.22
柬埔寨,0,8,0%,3.62
瑞士,0,8,0%,6.5
瑞典,0,8,0%,14.62
阿尔及利亚,0,7,0%,3.86
希腊,0,7,0%,4.86
保加利亚,0,7,0%,5.86
奥地利,0,6,0%,4.83
罗马尼亚,0,6,0%,5.17
埃及,0,6,0%,5.5
南非,0,6,0%,6.33
巴拿马,0,6,0%,6.5
丹麦,0,6,0%,7.33
哥斯达黎加,0,6,0%,10.67
秘鲁,0,6,0%,14.83
澳门,0,5,0%,5.2
尼泊尔,0,5,0%,7.2
斯里兰卡,0,5,0%,7.4
肯尼亚,0,5,0%,12.8
捷克,0,4,0%,4.5
克罗地亚,0,4,0%,5.5
塞尔维亚,0,4,0%,5.5
突尼斯,0,4,0%,5.5
芬兰,0,4,0%,6.5
玻利维亚,0,4,0%,7
多米尼加共和国,0,4,0%,7.25
蒙古,0,4,0%,8.5
黎巴嫩,0,4,0%,10.25
摩尔多瓦,0,4,0%,23.75
巴拉圭,0,3,0%,1.67
阿曼,0,3,0%,4.33
古巴,0,3,0%,5
匈牙利,0,3,0%,5.33
波多黎各,0,3,0%,5.33
牙买加,0,3,0%,7.33
吉尔吉斯斯坦,0,3,0%,8
尼加拉瓜,0,3,0%,12
土库曼斯坦,0,3,0%,12
立陶宛,0,2,0%,2.5
斯洛伐克,0,2,0%,2.5
科特迪瓦,0,2,0%,3
巴巴多斯,0,2,0%,3.5
特立尼达和多巴哥,0,2,0%,4
津巴布韦,0,2,0%,4.5
塞内加尔,0,2,0%,5
斯洛文尼亚,0,2,0%,5.5
特克斯和凯科斯群岛,0,2,0%,6.5
危地马拉,0,2,0%,8
洪都拉斯,0,2,0%,8
马尔代夫,0,2,0%,8.5
亚美尼亚,0,2,0%,9
巴勒斯坦,0,2,0%,9.5
加纳,0,2,0%,13
文莱,0,2,0%,17
阿塞拜疆,0,2,0%,17.5
约旦,0,2,0%,27.5
布隆迪,0,1,0%,1
斐济,0,1,0%,2
法属波利尼西亚,0,1,0%,2
利比亚,0,1,0%,3
缅甸,0,1,0%,3
卡塔尔,0,1,0%,3
美属萨摩亚,0,1,0%,4
黑山,0,1,0%,4
巴林,0,1,0%,5
博茨瓦纳,0,1,0%,5
未知地区,0,1,0%,5
卢旺达,0,1,0%,6
所罗门群岛,0,1,0%,6
塞浦路斯,0,1,0%,8
巴布亚新几内亚,0,1,0%,8
阿鲁巴,0,1,0%,9
纳米比亚,0,1,0%,9
白俄罗斯,0,1,0%,10
格鲁吉亚,0,1,0%,10
毛里求斯,0,1,0%,10
马绍尔群岛,0,1,0%,11
科威特,0,1,0%,12
伯利兹,0,1,0%,13
叙利亚,0,1,0%,17
乌干达,0,1,0%,156
