网址,上次抓取日期
https://chinahospitalsguide.com/blog/why-medical-tourism-coordinator-china.html,2026-05-05
https://chinahospitalsguide.com/services/oncology.html,2026-05-05
https://chinahospitalsguide.com/blog/spinal-surgery-cost-china.html,2026-05-05
https://chinahospitalsguide.com/blog/china-medical-visa-guide.html,2026-05-05
https://chinahospitalsguide.com/stories/james-thompson.html,2026-05-05
https://chinahospitalsguide.com/blog/how-to-choose-best-plastic-surgeon.html,2026-05-05
https://chinahospitalsguide.com/treatments/endoscopy.html,2026-05-05
https://chinahospitalsguide.com/blog/recovery-tips-after-surgery-in-china.html,2026-05-05
https://chinahospitalsguide.com/course/news/,2026-05-03
https://chinahospitalsguide.com/course/services.html,2026-05-02
https://chinahospitalsguide.com/course/resources.html,2026-05-02
https://chinahospitalsguide.com/blog.html,2026-05-02
https://chinahospitalsguide.com/course/how-it-works.html,2026-05-02
https://chinahospitalsguide.com/course/blog/,2026-05-02
