日期,点击次数,展示,点击率,排名
2026-02-28,0,0,,
2026-03-01,0,2,0%,8.5
2026-03-02,0,79,0%,3.1
2026-03-03,0,11,0%,6.5
2026-03-04,0,9,0%,7.1
2026-03-05,0,9,0%,7.7
2026-03-06,0,7,0%,16
2026-03-07,0,10,0%,7.1
2026-03-08,0,9,0%,7.1
2026-03-09,0,4,0%,7.2
2026-03-10,0,3,0%,29.3
2026-03-11,0,2,0%,10
2026-03-12,0,6,0%,7.8
2026-03-13,0,2,0%,7
2026-03-14,0,19,0%,6.2
2026-03-15,0,33,0%,11.4
2026-03-16,0,24,0%,16.3
2026-03-17,0,21,0%,30.8
2026-03-18,0,58,0%,7.3
2026-03-19,0,113,0%,7.1
2026-03-20,0,24,0%,5.6
2026-03-21,0,16,0%,9.6
2026-03-22,0,5,0%,17.6
2026-03-23,0,2,0%,4.5
2026-03-24,0,1,0%,12
2026-03-25,0,0,,
2026-03-26,0,8,0%,3.8
2026-03-27,1,4,25%,4.2
2026-03-28,0,7,0%,7.1
2026-03-29,0,22,0%,4.4
2026-03-30,0,26,0%,5
2026-03-31,0,70,0%,5.7
2026-04-01,0,80,0%,5.6
2026-04-02,0,77,0%,6.7
2026-04-03,0,53,0%,5.1
2026-04-04,0,84,0%,5.1
2026-04-05,0,95,0%,5.4
2026-04-06,0,88,0%,5.9
2026-04-07,0,66,0%,6.2
2026-04-08,0,41,0%,5.5
2026-04-09,0,73,0%,6
2026-04-10,0,58,0%,5.7
2026-04-11,0,53,0%,6.9
2026-04-12,0,53,0%,6.1
2026-04-13,0,76,0%,5.8
2026-04-14,0,60,0%,5.4
2026-04-15,0,96,0%,6.2
2026-04-16,0,50,0%,5.6
