国家/地区,点击次数,展示,点击率,排名
加拿大,1,47,2.13%,6.47
美国,0,633,0%,6.72
新加坡,0,233,0%,6.64
中国,0,143,0%,5.45
巴西,0,54,0%,4.61
英国,0,48,0%,17.08
澳大利亚,0,36,0%,6.67
越南,0,33,0%,4.45
印度尼西亚,0,26,0%,7
马来西亚,0,25,0%,4.72
印度,0,24,0%,6.67
日本,0,23,0%,7.13
德国,0,22,0%,6.09
菲律宾,0,21,0%,5.33
中国香港,0,18,0%,5.61
墨西哥,0,16,0%,4.38
西班牙,0,15,0%,4.53
法国,0,14,0%,4.86
韩国,0,12,0%,5.58
意大利,0,12,0%,6.17
阿根廷,0,11,0%,4.55
伊拉克,0,11,0%,6.73
哥伦比亚,0,9,0%,5.22
台湾,0,9,0%,6.78
巴基斯坦,0,8,0%,5.38
阿拉伯联合酋长国,0,8,0%,5.88
新西兰,0,8,0%,6.62
波兰,0,8,0%,7.25
土耳其,0,8,0%,7.5
俄罗斯,0,7,0%,5.86
荷兰,0,7,0%,6.57
泰国,0,7,0%,6.57
孟加拉,0,7,0%,7.14
比利时,0,6,0%,2.83
柬埔寨,0,6,0%,3.5
沙特阿拉伯,0,6,0%,5
乌克兰,0,5,0%,4.4
以色列,0,5,0%,4.8
丹麦,0,5,0%,6.6
保加利亚,0,4,0%,2.75
奥地利,0,4,0%,4.25
多米尼加共和国,0,4,0%,7.25
尼日利亚,0,4,0%,8.5
秘鲁,0,4,0%,19.25
阿尔及利亚,0,3,0%,4
葡萄牙,0,3,0%,4
希腊,0,3,0%,5.33
瑞士,0,3,0%,5.67
埃塞俄比亚,0,3,0%,5.67
厄瓜多尔,0,3,0%,6
挪威,0,3,0%,6.67
委内瑞拉,0,3,0%,6.67
尼泊尔,0,3,0%,7
蒙古,0,3,0%,7.33
芬兰,0,3,0%,7.67
黎巴嫩,0,3,0%,8.33
南非,0,3,0%,8.33
伊朗,0,3,0%,10.33
科特迪瓦,0,2,0%,3
哈萨克斯坦,0,2,0%,3.5
澳门,0,2,0%,4
摩尔多瓦,0,2,0%,4
阿曼,0,2,0%,4
匈牙利,0,2,0%,5
塞内加尔,0,2,0%,5
捷克,0,2,0%,5.5
智利,0,2,0%,6
波多黎各,0,2,0%,7
布隆迪,0,1,0%,1
特克斯和凯科斯群岛,0,1,0%,1
津巴布韦,0,1,0%,1
斐济,0,1,0%,2
克罗地亚,0,1,0%,2
巴拿马,0,1,0%,2
利比亚,0,1,0%,3
巴勒斯坦,0,1,0%,3
塞尔维亚,0,1,0%,3
吉尔吉斯斯坦,0,1,0%,4
尼加拉瓜,0,1,0%,4
斯洛伐克,0,1,0%,4
爱尔兰,0,1,0%,5
牙买加,0,1,0%,5
肯尼亚,0,1,0%,5
摩洛哥,0,1,0%,5
阿塞拜疆,0,1,0%,6
卢旺达,0,1,0%,6
亚美尼亚,0,1,0%,7
玻利维亚,0,1,0%,7
塞浦路斯,0,1,0%,8
巴布亚新几内亚,0,1,0%,8
加纳,0,1,0%,9
白俄罗斯,0,1,0%,10
斯里兰卡,0,1,0%,10
马绍尔群岛,0,1,0%,11
罗马尼亚,0,1,0%,11
科威特,0,1,0%,12
马尔代夫,0,1,0%,12
乌拉圭,0,1,0%,16
土库曼斯坦,0,1,0%,20
