ID,Name_EN,Name_ZH,City,District,Address,Tags,Rank,Phone,Website,International,JCI,Airport_Info,Trust_Score
fuwai-hospital,Fu Wai Hospital,中国医学科学院阜外医院,Beijing,Xicheng,北京市西城区北礼士路167号,"cardiology, heart-surgery, general",#1 Cardiology in China,010-88398866,https://www.fuwaihospital.org,True,False,45-60min from Beijing Capital International Airport,0.94
anzhen-hospital,Anzhen Hospital,首都医科大学附属北京安贞医院,Beijing,Chaoyang,北京市朝阳区安贞路2号,"cardiology, heart-surgery",Top Cardiovascular Center,010-64412431,http://www.anzhen.org,True,False,40-55min from Beijing Capital International Airport,0.91
zhongshan-hospital-shanghai,Zhongshan Hospital (Shanghai),复旦大学附属中山医院,Shanghai,Xuhui,上海市徐汇区枫林路180号,"cardiology, oncology, general","Top 3 Cardiology, Top 5 Oncology",021-64041990,https://www.zs-hospital.sh.cn,True,False,55-75min from Shanghai Pudong International Airport,0.92
jishuitan-hospital,Jishuitan Hospital,北京积水潭医院,Beijing,Xicheng,北京市西城区新街口东街31号,"orthopedics, joint-replacement, spine-surgery",#1 Orthopedics in China,010-58516688,http://www.jst-hosp.com,True,False,40-50min from Beijing Capital International Airport,0.93
shanghai-sixth-hospital,Shanghai Sixth Hospital,上海交通大学附属第六人民医院,Shanghai,Xuhui,上海市徐汇区宜山路600号（徐汇院区）,"orthopedics, sports-medicine, joint-replacement",#2 Orthopedics,021-64369181,http://www.6thhospitalsh.com,True,False,50-60min from Shanghai Pudong International Airport,0.89
pku-third-hospital,Peking University Third Hospital,北京大学第三医院,Beijing,Haidian,北京市海淀区花园北路49号,"orthopedics, maternity, fertility, sports-medicine","#4 Obstetrics, #1 Fertility, Top Orthopedics",010-82266699,http://www.puh3.net.cn,True,False,45min from Beijing Capital International Airport,0.91
fudan-womens-hospital,Fudan University Women's Hospital (Red House),复旦大学附属妇产科医院（红房子）,Shanghai,Huangpu,黄浦区方斜路419号（黄浦院区）；杨浦区沈阳路128号（杨浦院区）,"maternity, obstetrics, prenatal-diagnosis, fertility",#2 Obstetrics in China,021-33189900,https://www.fdfck.com,True,False,60min from Shanghai Pudong International Airport,0.9
zhejiang-womens-hospital,Zhejiang University Women's Hospital,浙江大学医学院附属妇产科医院,Hangzhou,Shangcheng,湖滨院区：杭州市上城区学士路1号,"maternity, obstetrics, prenatal-diagnosis, fertility",Top Obstetrics,0571-87061501,https://www.womanhospital.cn,True,False,50min from Hangzhou Xiaoshan International Airport,0.88
cams-cancer-hospital,"Cancer Hospital, CAMS",中国医学科学院肿瘤医院,Beijing,Chaoyang,北京市朝阳区潘家园南里17号,"oncology, cancer-surgery, radiotherapy",#1 Oncology in China,010-67781331,http://www.cicams.ac.cn,True,False,40-50min from Beijing Capital International Airport,0.95
tiantan-hospital,Tiantan Hospital,首都医科大学附属北京天坛医院,Beijing,Fengtai,北京市丰台区南四环西路119号,"neurosurgery, neurology, general",#1 Neurosurgery,010-59976611,http://www.bjtth.org,True,False,50-70min from Beijing Capital International Airport,0.94
huashan-hospital,Huashan Hospital,复旦大学附属华山医院,Shanghai,Jing'an,上海市静安区乌鲁木齐中路12号（总院）,"neurosurgery, neurology",#2 Neurosurgery,021-52889999,https://www.hshs.com.cn,True,False,65-85min from Shanghai Pudong International Airport,0.93
beijing-childrens-hospital,Beijing Children's Hospital,国家儿童医学中心（北京）,Beijing,Xicheng,北京市西城区南礼士路56号,"pediatrics, childrens-health",#1 Pediatrics,010-59612345,http://www.bch.com.cn,True,False,45-60min from Beijing Capital International Airport,0.96
pumch,Peking Union Medical College Hospital,北京协和医院,Beijing,Dongcheng,东单院区：北京市东城区帅府园一号；西单院区：北京市西城区大木仓胡同41号,"general, all-specialties",#1 Comprehensive Hospital,东单院区:010-69151188 / 西单院区:010-69158100,https://www.pumch.cn,True,False,45-60min from Beijing Capital International Airport,0.97
